idnumber,title,artistcalc,datemade,materials,measurement
0.36,The Gleaners,"Millet, Jean Francois",,etching,Sheet: 9 1/8 x 12 in.
1870.1,Flight into Egypt,"Patinir, Joachim (School of)",1545-1555,oil on wood panel,10 7/8 x 14 1/8 in.
1870.2,Battle of Constantine,"Vernet, Jean-Horace (Attributed to)",,pencil,12 7/8 x 30 7/8 in.
1873.1,Westward the course of empire takes its way (Bishop Berkeley),"Weir, John F.",1873,oil on canvas,72 3/8 x 51 1/4 in.
1881.2,Hetch Hetchy Valley,"Shapleigh, Frank H.",1871,oil on canvas,36 x 60 1/4 in.
1881.3,"El Capitan and Cathedral Rocks, Yosemite","Shapleigh, Frank H.",,oil on canvas,36 1/2 x 60 in.
1881.4,Yosemite Winter Scene,"Bierstadt, Albert",1872,oil on canvas,32 1/8 x 48 1/8 in.
1882.1,Washington Rallying the Troops at Monmouth,"Leutze, Emanuel",1853-1854,oil on canvas,156 x 261 in.
1891.1,Edward Roland Sill,"Keith, William",,oil on canvas,30 1/8 x 25 in.
1894.1,Cities of the Golden Gate,"Yelland, Raymond Dabb",1893,oil on canvas,55 x 96 1/2 in.
1898.1,"Piazzetta Di San Marco by Moonlight, Venice",Unknown (Italy),1834-1867,oil on canvas,52 1/2 x 72 1/2 in.
1910.1,George Hearst,"Borg, Carl Oscar",1910,oil,49 3/4 x 39 7/8 in.
1918.1,John M. Eshleman,"Patigian, Haig",1916,bronze,25 x 17 x 12 1/2 in.
1919.1,Phoebe Apperson Hearst,"Poddock, Willard",1918,bronze,20 x 12 x 10 in.
1919.1,"Nihonbashi, Gyoretsu furidashi [#1]","Hiroshige, Ando",1833-1834,Full color woodblock printing,8 7/16 x 13 3/4 in.
1919.2,"Shinagawa, Shoko Idetachi[#2]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 14 1/4 in.
1919.2.1,Alpine Landscape,"Michalitschke, Emma",1892,oil on canvas,74 x 90 in.
1919.2.2,Baron MÅnchausen at the Court of Catherine the Great,"Michalitschke, Emma",1894,oil on canvas,70 1/2 x 114 in.
1919.2.3,Columbus and the Egg,"Michalitschke, Emma",,oil on canvas,35 x 25 1/2 in.
1919.2.4,The Deluge,"Michalitschke, Emma",,oil on canvas,48 1/8 x 36 1/4 in.
1919.2.5,Eagles Attacking Stag,"Michalitschke, Emma",,oil on canvas,68 7/8 x 71 1/4 in.
1919.2.6,The Finding of Moses,"Michalitschke, Emma",1907,oil on canvas,50 x 50 in.
1919.2.7,Untitled (Alpine landscape with rapids),"Michalitschke, Emma",,oil on canvas,39 x 50 1/2 in.
1919.2.8,Yosemite Landscape,"Michalitschke, Emma",1913,oil on canvas,50 x 44 in.
1919.2.9,Gretchen in Church,"Michalitschke, Emma",,oil on canvas,48 1/2 x 38 5/8 in.
1919.2.10,Russian Wedding Feast,"Michalitschke, Emma",,oil on canvas,43 1/4 x 68 1/2 in.
1919.2.11,Turkish Interior,"Michalitschke, Emma",1914,oil on canvas,45 1/8 x 62 7/8 in.
1919.2.12,View of Constantinople,"Michalitschke, Emma",1906,oil on canvas,35 1/8 x 91 1/2 in.
1919.2.13,Untitled (forest scene with waterfall and moose),"Michalitschke, Emma",1914,oil on canvas,50 x 36 in.
1919.2.14,A Woman in Regal Attire,"Michalitschke, Emma",,oil on canvas,100 1/4 x 69 1/4 in.
1919.3,"Kawasaki, Rokugo Watashibune[#3] (Ferry at Kawasaki)","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 3/8 x 14 1/4 in.
1919.4,"Kanagawa, Dai no kei[#4]","Hiroshige, Ando",1833-1834,Full color woodblock printing,9 7/8 x 14 1/4 in.
